DN (mm),Pulgadas,SDR,PN,Espesor (e_min)
50,1 1/2,26,6,2.0
63,2,26,6,2.5
75,2 1/2,26,6,2.9
90,3,26,6,3.5
110,4,26,6,4.2
125,5,26,6,4.8
140,5 1/2,26,6,5.4
160,6,26,6,6.2
180,7,26,6,6.9
200,8,26,6,7.7
225,9,26,6,8.6
250,10,26,6,9.6
280,11,26,6,10.7
315,12,26,6,12.1
355,14,26,6,13.6
400,16,26,6,15.3
450,18,26,6,17.2
500,20,26,6,19.1
560,22,26,6,21.4
630,24,26,6,24.1
710,28,26,6,27.2
800,32,26,6,30.6
900,36,26,6,34.4
1000,40,26,6,38.2
40,1 1/4,21,8,2.0
50,1 1/2,21,8,2.4
63,2,21,8,3.0
75,2 1/2,21,8,3.6
90,3,21,8,4.3
110,4,21,8,5.3
125,5,21,8,6.0
140,5 1/2,21,8,6.7
160,6,21,8,7.7
180,7,21,8,8.6
200,8,21,8,9.6
225,9,21,8,10.8
250,10,21,8,11.9
280,11,21,8,13.4
315,12,21,8,15.0
355,14,21,8,16.9
400,16,21,8,19.1
450,18,21,8,21.5
500,20,21,8,23.9
560,22,21,8,26.7
630,24,21,8,30.0
710,28,21,8,33.9
800,32,21,8,38.1
900,36,21,8,42.9
1000,40,21,8,47.7
32,1,17,10,2.0
40,1 1/4,17,10,2.4
50,1 1/2,17,10,3.0
63,2,17,10,3.8
75,2 1/2,17,10,4.5
90,3,17,10,5.4
110,4,17,10,6.6
125,5,17,10,7.4
140,5 1/2,17,10,8.3
160,6,17,10,9.5
180,7,17,10,10.7
200,8,17,10,11.9
225,9,17,10,13.4
250,10,17,10,14.8
280,11,17,10,16.6
315,12,17,10,18.7
355,14,17,10,21.1
400,16,17,10,23.7
450,18,17,10,26.7
500,20,17,10,29.7
560,22,17,10,33.2
630,24,17,10,37.4
710,28,17,10,42.1
800,32,17,10,47.4
900,36,17,10,53.3
1000,40,17,10,59.3
25,3/4,"13,6","12,5",2.0
32,1,"13,6","12,5",2.4
40,1 1/4,"13,6","12,5",3.0
50,1 1/2,"13,6","12,5",3.7
63,2,"13,6","12,5",4.7
75,2 1/2,"13,6","12,5",5.6
90,3,"13,6","12,5",6.7
110,4,"13,6","12,5",8.1
125,5,"13,6","12,5",9.2
140,5 1/2,"13,6","12,5",10.3
160,6,"13,6","12,5",11.8
180,7,"13,6","12,5",13.3
200,8,"13,6","12,5",14.7
225,9,"13,6","12,5",16.6
250,10,"13,6","12,5",18.4
280,11,"13,6","12,5",20.6
315,12,"13,6","12,5",23.2
355,14,"13,6","12,5",26.1
400,16,"13,6","12,5",29.4
450,18,"13,6","12,5",33.1
500,20,"13,6","12,5",36.8
560,22,"13,6","12,5",41.2
630,24,"13,6","12,5",46.3
710,28,"13,6","12,5",52.2
800,32,"13,6","12,5",58.8
900,36,"13,6","12,5",66.2
1000,40,"13,6","12,5",72.5
20,1/2,11,16,2.0
25,3/4,11,16,2.3
32,1,11,16,3.0
40,1 1/4,11,16,3.7
50,1 1/2,11,16,4.6
63,2,11,16,5.8
75,2 1/2,11,16,6.8
90,3,11,16,8.2
110,4,11,16,10.0
125,5,11,16,11.4
140,5 1/2,11,16,12.7
160,6,11,16,14.6
180,7,11,16,16.4
200,8,11,16,18.2
225,9,11,16,20.5
250,10,11,16,22.7
280,11,11,16,25.4
315,12,11,16,28.6
355,14,11,16,32.2
400,16,11,16,36.3
450,18,11,16,40.9
500,20,11,16,45.4
560,22,11,16,50.8
630,24,11,16,57.2
710,28,11,16,64.5
800,32,11,16,72.6
900,36,11,16,81.7
1000,40,11,16,90.2
20,1/2,9,20,2.3
25,3/4,9,20,3.0
32,1,9,20,3.6
40,1 1/4,9,20,4.5
50,1 1/2,9,20,5.6
63,2,9,20,7.1
75,2 1/2,9,20,8.4
90,3,9,20,10.1
110,4,9,20,12.2
125,5,9,20,13.9
140,5 1/2,9,20,15.5
160,6,9,20,17.7
180,7,9,20,20.0
200,8,9,20,22.2
225,9,9,20,25.0
250,10,9,20,27.7
280,11,9,20,31.1
315,12,9,20,35.0
355,14,9,20,39.4
400,16,9,20,44.4
450,18,9,20,50.0
500,20,9,20,55.5
560,22,9,20,62.2
630,24,9,20,70.0
710,28,9,20,78.8
800,32,9,20,88.8
900,36,9,20,100.0
1000,40,9,20,111.1
110,4,"7,4",25,14.8
125,5,"7,4",25,16.9
140,5 1/2,"7,4",25,18.9
160,6,"7,4",25,21.6
180,7,"7,4",25,24.3
200,8,"7,4",25,27.0
225,9,"7,4",25,30.4
250,10,"7,4",25,33.7
280,11,"7,4",25,37.8
315,12,"7,4",25,42.5
355,14,"7,4",25,47.9
400,16,"7,4",25,54.0
450,18,"7,4",25,60.8
500,20,"7,4",25,67.5
560,22,"7,4",25,75.6
630,24,"7,4",25,85.1
710,28,"7,4",25,95.9
800,32,"7,4",25,108.1
900,36,"7,4",25,121.6
110,4,"6,4",30,17.3
125,5,"6,4",30,19.7
140,5 1/2,"6,4",30,22.1
160,6,"6,4",30,25.2
180,7,"6,4",30,28.4
200,8,"6,4",30,31.5
225,9,"6,4",30,35.5
250,10,"6,4",30,39.4
280,11,"6,4",30,44.2
315,12,"6,4",30,49.7
355,14,"6,4",30,56.0
400,16,"6,4",30,63.1
450,18,"6,4",30,71.0
500,20,"6,4",30,78.9
560,22,"6,4",30,88.4
630,24,"6,4",30,99.4
710,28,"6,4",30,112.1
800,32,"6,4",30,126.3
